epoch,accuracy,loss,val_accuracy,val_loss
0,0.3618333339691162,1.7648296356201172,0.10000000149011612,3.0110623836517334
1,0.4819166660308838,1.4416338205337524,0.1080000028014183,3.0352089405059814
2,0.5490833520889282,1.304622769355774,0.1886666715145111,3.338911771774292
3,0.5870833396911621,1.1827056407928467,0.2383333295583725,3.0645947456359863
4,0.6133333444595337,1.1298284530639648,0.4423333406448364,1.6498092412948608
5,0.6272500157356262,1.0820039510726929,0.6240000128746033,1.1399801969528198
6,0.6419166922569275,1.0424600839614868,0.5216666460037231,1.6224583387374878
7,0.6455000042915344,1.027821660041809,0.6243333220481873,1.0823301076889038
8,0.6606666445732117,0.9973028302192688,0.6386666893959045,1.0471159219741821
9,0.668833315372467,0.9691638946533203,0.6729999780654907,0.955473005771637
10,0.6797500252723694,0.946845531463623,0.5973333120346069,1.2666654586791992
11,0.6852499842643738,0.9268718361854553,0.5706666707992554,1.3643238544464111
