modelo,parametros,entrenables,epocas,mejor_epoca,segundos,val_accuracy,test_accuracy,test_f1_macro,test_loss
CNN básica,282250,282250,12,10,24.235048499976983,0.5799999833106995,0.5784000158309937,0.5724845033580437,1.2297693490982056
CNN profunda,289642,288746,12,10,143.04160820000106,0.6729999780654907,0.6714000105857849,0.6680268803674096,0.9633680582046509
MobileNetV2,2270794,12810,12,11,241.9035942000046,0.8433333039283752,0.8403000235557556,0.8385047899754687,0.4543857276439667
