epoch,accuracy,loss,val_accuracy,val_loss
0,0.22941666841506958,2.082174777984619,0.3773333430290222,1.7421212196350098
1,0.35116666555404663,1.7786625623703003,0.44466665387153625,1.572772741317749
2,0.38758334517478943,1.6729862689971924,0.4869999885559082,1.4585353136062622
3,0.41733333468437195,1.6133878231048584,0.5026666522026062,1.4227291345596313
4,0.42800000309944153,1.5787190198898315,0.5106666684150696,1.4258270263671875
5,0.44475001096725464,1.5331491231918335,0.4883333444595337,1.4424256086349487
6,0.4611666798591614,1.509149432182312,0.5486666560173035,1.3267885446548462
7,0.47566667199134827,1.4795247316360474,0.54666668176651,1.3079637289047241
8,0.48225000500679016,1.461789608001709,0.5546666383743286,1.2792235612869263
9,0.48225000500679016,1.4514989852905273,0.5799999833106995,1.2527837753295898
10,0.49274998903274536,1.439070463180542,0.5273333191871643,1.3444653749465942
11,0.4792500138282776,1.4494694471359253,0.5569999814033508,1.2662239074707031
