epoch,accuracy,loss,val_accuracy,val_loss
0,0.5380833148956299,1.4093266725540161,0.7680000066757202,0.6671302914619446
1,0.7132499814033508,0.8438431024551392,0.8026666641235352,0.5629678964614868
2,0.7452499866485596,0.7428367733955383,0.8190000057220459,0.5259764194488525
3,0.7614166736602783,0.6941944360733032,0.8233333230018616,0.5133898258209229
4,0.7717499732971191,0.6626108288764954,0.8320000171661377,0.5035794377326965
5,0.781583309173584,0.6329330205917358,0.8330000042915344,0.4834439158439636
6,0.7885000109672546,0.6141931414604187,0.8379999995231628,0.4833504557609558
7,0.7898333072662354,0.6023324131965637,0.8293333053588867,0.48512691259384155
8,0.797166645526886,0.585909903049469,0.8379999995231628,0.4692019820213318
9,0.796916663646698,0.5805596113204956,0.8373333215713501,0.47286316752433777
10,0.8023333549499512,0.5726626515388489,0.8433333039283752,0.4618520140647888
11,0.8003333210945129,0.5626097917556763,0.8373333215713501,0.46725574135780334
